,mobility_hub,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling
0,Science Park 900 Amsterdam,Amsterdam Science Park Station,632,Amsterdam Science Park Station,716
1,Carolina MacGillavrylaan 3066 Amsterdam,Amsterdam Science Park Station,282,Amsterdam Science Park Station,305
2,Carolina MacGillavrylaan 1672 Amsterdam,Amsterdam Science Park Station,548,Amsterdam Science Park Station,571
3,Johannes van der Waalstraat 81 Amsterdam,Amsterdam Science Park Station,506,Amsterdam Science Park Station,1086
4,Max Planckstraat 29 Amsterdam,Amsterdam Science Park Station,255,Amsterdam Science Park Station,778
5,Boelelaan 30 Amsterdam,Amsterdam RAI Station,489,Amsterdam Zuid Station,1359
6,Boelelaan 769 Amsterdam,Amsterdam Zuid Station,472,Amsterdam Zuid Station,725
7,Parnassusweg 126-128 Amsterdam,Amsterdam Zuid Station,608,Amsterdam Zuid Station,624
8,Gerard Doustraat 13 Amsterdam,Amsterdam RAI Station,2310,Amsterdam Zuid Station,2426
9,Daniel Stalperstraat 28 Amsterdam,Amsterdam RAI Station,2435,Amsterdam Zuid Station,2517
10,Quillijnstraat 39 Amsterdam,Amsterdam Centraal Station,1516,Amsterdam Centraal Station,1677
11,Kattenburgstraat 5 Amsterdam,Amsterdam Centraal Station,1327,Amsterdam Centraal Station,1327
12,Hoekenes 30 Amsterdam,Amsterdam Lelylaan Station,2720,Amsterdam Lelylaan Station,2945
13,Chasséstraat 91 Amsterdam,Amsterdam Sloterdijk Station,2991,Amsterdam Sloterdijk Station,3166
14,Maarten H. Trompstraat 25 Amsterdam,Amsterdam Sloterdijk Station,2826,Amsterdam Sloterdijk Station,3004
15,Pieter van der Doesstraat 5I Amsterdam,Amsterdam Sloterdijk Station,2802,Amsterdam Sloterdijk Station,3029
16,J.H. Hisgenpad 2 Amsterdam,Amsterdam Centraal Station,3656,Amsterdam Centraal Station,3689
17,Isolatorweg station Amsterdam,Amsterdam Sloterdijk Station,1618,Amsterdam Sloterdijk Station,2198
