Approximate location name,Latitude,Longitude
Einsteinweg,52.3579865461454,4.8424872621914
Kolenkit district,52.3722207741849,4.8421031736897
Haarlemmerweg,52.3849123195097,4.8445912987001
Bedrijventerrein,52.3918431239009,4.8444219663180
Westelijk,52.4010333384449,4.8494978477647
Coenhavenweg,52.4062028185250,4.8554625483548
Oostzanerwerf,52.4222433008793,4.8732867524857
Oostzanerwerf,52.4245147552915,4.8825881040268
Kadoelen,52.4192700786072,4.9107059252754
Buikslotermeer,52.4075217327653,4.9393904021103
Waterlanpleinbuurt,52.3901558722164,4.9667602888760
Amsterdam,52.3675316021229,4.9722347406899
Diemen,52.3510230199195,4.9629970532402
Middenmeer,52.3417836781393,4.9532911211944
Rijksstraatweg,52.3366310985979,4.9405832334809
Ouder-Amstel,52.3328045223990,4.9300547472900
Knooppunt Amstel,52.3284065052804,4.9132524502950
Amsterdam RAI,52.3368124656290,4.8909267268138
Amstelweensweg,52.3382066879045,4.8575721837871
Westlandgracht,52.3393691186188,4.8419890489109
Westlandgracht,52.3457799594173,4.8410023560835
