,Mobility hub,Nearest station (walking),Distance to nearest train station (walking),Nearest station (biking),Distance to nearest train station (biking)
0,Science Park 900 Amsterdam,Amsterdam Science Park Station,631,Amsterdam Science Park Station,716
1,Carolina MacGillavrylaan 3066 Amsterdam,Amsterdam Science Park Station,282,Amsterdam Science Park Station,305
2,Carolina MacGillavrylaan 1672 Amsterdam,Amsterdam Science Park Station,548,Amsterdam Science Park Station,571
3,Johannes van der Waalstraat 81 Amsterdam,Amsterdam Science Park Station,505,Amsterdam Science Park Station,1086
4,Max Planckstraat 29 Amsterdam,Amsterdam Science Park Station,255,Amsterdam Science Park Station,778
5,Boelelaan 30 Amsterdam,Amsterdam RAI Station,488,Amsterdam Zuid Station,1358
6,Boelelaan 769 Amsterdam,Amsterdam Zuid Station,472,Amsterdam Zuid Station,725
7,Parnassusweg 126-128 Amsterdam,Amsterdam Zuid Station,609,Amsterdam Zuid Station,625
8,Gerard Doustraat 13 Amsterdam,Amsterdam RAI Station,2311,Amsterdam Zuid Station,2425
9,Daniel Stalperstraat 28 Amsterdam,Amsterdam RAI Station,2436,Amsterdam Zuid Station,2516
10,Quillijnstraat 39 Amsterdam,Amsterdam Centraal Station,1518,Amsterdam Centraal Station,1677
11,Kattenburgstraat 5 Amsterdam,Amsterdam Centraal Station,1326,Amsterdam Centraal Station,1327
12,Hoekenes 30 Amsterdam,Amsterdam Lelylaan Station,2723,Amsterdam Lelylaan Station,2944
13,Chasséstraat 91 Amsterdam,Amsterdam Sloterdijk Station,2991,Amsterdam Sloterdijk Station,3166
14,Maarten H. Trompstraat 25 Amsterdam,Amsterdam Sloterdijk Station,2825,Amsterdam Sloterdijk Station,3004
15,Pieter van der Doesstraat 5I Amsterdam,Amsterdam Sloterdijk Station,2801,Amsterdam Sloterdijk Station,3030
16,J.H. Hisgenpad 2 Amsterdam,Amsterdam Centraal Station,3656,Amsterdam Centraal Station,3689
17,Isolatorweg station Amsterdam,Amsterdam Sloterdijk Station,1618,Amsterdam Sloterdijk Station,2196
